Sentiment,Text,Word Count
neutral,seller eos innovationsmanagement group private individual,12
neutral,believe however hkscan atrium start use imported meat finnish consumer prefer domestic product,24
neutral,gross area eight house,11
neutral,utility also provide service related electricity management hedging trade risk management reporting,21
neutral,amount included pensionable salary,11
neutral,avc systemhaus net sale eur million usd,16
neutral,cash flow operating activity investment eur million eur million,16
negative,consolidated pretax profit decreased eur mn eur mn,18
negative,operating loss totaled eur mn compared profit eur mn corresponding period,19
positive,following transaction lundbeck worldwide right nalmefene excluding north america mexico turkey south korea,21
neutral,made long term investment developing system implementation model,13
neutral,thanks extensive industry operation experience cybercom offer strategic technological expertise market telecom industry medium public sector retail banking financial service,36
negative,building home improvement trade net sale totalled eur mn eur mn year earlier,24
neutral,news corp myspace com web site display submission expanded broadband emmy award part effort identify aspiring video artist,26
positive,last year lemminkainen completed kouvola k supermarket contract,10
negative,company profit tax fell eur mn third quarter compared eur mn corresponding period,30
neutral,total number voting right,9
neutral,vianor sell tire car truck well range car part provides maintenance service,21
neutral,business goal realize temporary lay offs carried summer saving measure,25
negative,finnish glass technology company glaston oyj abp net profit decreased mln euro mln first nine month mln euro mln period,42
neutral,spokeswoman italian fashion house declined comment settlement,13
neutral,port operator however favor retaining port fee citing owner governemtn estonia commiting port pay eek mn eur mn usd mn dividend state another eek mn,52
neutral,srv also build aqua park wellness area restaurant multifunctional ice arena,19
neutral,kone listed nordic exchange helsinki,10
neutral,company profit totaled l,8
negative,operating profit decreased nearly eur mn however,11
neutral,site cover six hectare,8
neutral,country finland sector construction real estate target pohjolan design talo oy buyer capman oyj vendor ruukki group oyj deal size usd type divestment status agreed,35
positive,memorandum understanding cooperation finnish global chemical company kemira vietnam national chemical group vinachem signed occasion,27
negative,capital expenditure energy efficiency unfortunately fallen along decline economy,17
positive,finnish electronics manufacturing service company elcoteq signing cooperation agreement japanese mobile phone manufacturer bypass elcoteq tallinn say jan kotka ceo elcoteq tallinn,30
neutral,dividend go grimaldi family,11
neutral,finland alma medium focus quality developing chain operation,14
negative,jul police looking man say terrorized three male gunpoint east maple avenue afternoon shooting one kidnapping another,32
neutral,regulatory news nomination committee cybercom sto cybe unanimous proposal proposes election jon risfelt new chairman board,35
positive,federal secretary transport communication mexico awarded poyry mexican partner sintra consulting contract connection buenavista cuautitlan suburban railway,28
neutral,could,6
neutral,difficult become google analytics channel partner,12
neutral,passenger ferry dimension length overall length perpendicular breadth design draught,27
negative,operating profit totaled eur mn eur mn corresponding period,19
neutral,neste oil publish third quarter result friday october approximately eet,23
neutral,enterprise value maritim food determined approximately eur,14
neutral,helsinki based componenta bought turkish listed company doktas october million euro making largest finnish investment turkey date,26
neutral,appears statistic technical surveillance authority customer switch service provider mostly transfer number elisa network,24
positive,offer represents premium stock closing price friday,17
neutral,respect decision discussion closed said kai telanne alma medium ceo,22
neutral,delivery start later volume increase year,18
positive,pleased receive nomination committee request confidence say jon risfelt,19
neutral,russia ready participate open tender lattelecom privatization,15
neutral,resignation take effect immediately,7
positive,company report loss period eur mn compared loss eur mn corresponding period,27
positive,net sale surged eur teleste said eur sale came acquisition made,32
neutral,huge bridge girder delivered site plant ylivieska finland,18
neutral,contract cover supply temporary heating equipment lkab new pellet plant kiruna northern sweden,22
neutral,hand painted resin real treble cm long cm deep top bottom middle hook,24
neutral,finnish energy company fortum set new stricter target limit short term carbon dioxide emission heat electricity production,23
neutral,dual fuel engine vessel operate liquefied natural gas lng low emission,17
positive,last year company raised turnover approximately million litas eur mln million litas,23
neutral,rental agreement stockmann committed invest building bridge gogol street build underground tunnel crossing street,32
negative,sampo bank market share lending first quarter,22
negative,finnair total traffic decreased term revenue passenger kilometre,15
neutral,rapala tournament fishing major title already holiday bargain priced game rapala aim smaller audience,26
positive,helsinki finland sept globe newswire ixonos plc expands company smartphone r service establishes new next generation smartphone design unit connection ixonos site jyvaeskylae,39
negative,earnings per share eps amounted eur eur,16
neutral,mr atul chopra chief operating officer president tecnotree elaborated eager see continued success former tecnomen bringing lifetree product mena tecnotree umbrella,37
neutral,investment would eur,7
neutral,ebrd using fund provide million loan b portion million euro syndicated two finnish commercial bank nordea bank finland plc pohjola bank plc,40
neutral,headline release dated march read acacia subsidiary enters settlement agreement rule based monitoring technology f secure sted acacia technology license rule based monitoring technology f secure,37
neutral,protalix million cash sale,11
neutral,new kroksberg railway tunnel built new section track harnosand veda forming part line follows coast gulf bothnia,34
